,CourseID,Description
10,CPED 381,cooperative i 0.5-3 a prearranged approved professional a cooperating employer a written report prerequisites residence a minimum cumulative point average 2.500 approval coordinator cooperative plus positive performance evaluations previous cooperative employer s sciences 66 plus positive performance evaluations previous cooperative employer s beyond 383 additional subject guidelines stated 
11,GS 100,strategies success 1 a designed development success strategies enhance promote achievement effective time learning strategies active reading note taking organizing memory techniques test preparation plans test-taking techniques time management overcoming procrastination goal setting motivation decision making developing a strength-based mindset support resources campus meets over a 14-week 7-week period depending section 
12,GS 106,english conversation partners 1 full-term designed international engage cross-cultural conversations groups two three domestic/native english speaking enrolled 
13,GS 180,gain language speech behaviors cultural knowledge socialization a minimum number conversation hours a written reflection s/u up 2 total international civic engagement 3 1-2 options 
14,GS 150,exploratory 2 focus three areas analysis ’ personal strengths interests beliefs values a concentrated exploration introduction career exploration preparedness discussion texts films along informal formal writing help guided discern possible career vocational pathways exploratory first freshman freshman sophomore elect take 
15,GS 200,want become facilitators circles race relations taking a circle specific circle programs role a facilitator practice basic needed effective circle leader there weekly readings reflection papers end term report s/u partial fulfillment cultural diversity component want continue community race relations issues initiated action plan file a proposal co-directors circles program identify a written reflection component specifically related project order register proposal present a detailed overview project a minimum 20 hours s/u partial fulfillment cultural diversity component 
16,GS 220,contemporary issues philanthropy service 3 examines current trends challenges fields philanthropy service non-profit leadership rise enterprises venture philanthropy micro-lending influence technology giving patterns emphasize shifting roles relationships private public non-profit sectors meeting needs leading change 
17,GS 386,internship 1-6 arrange consultation a dean sciences experiential-learning opportunity a supervised internship midterm progress report final report proposals internships approved dean limited internship does meet internship a disciplinary curriculum s/u internship 4 devotes 15 hours per week agency provide direct involvement city life exposure a particular career environment placement determined jointly staff first week a wide range placements available graded either a-f s/u ’ s choice upon entry into program 
18,GS 390,english life culture 3 a selected aspects english life culture might restricted politics religion business environment multicultural issues cambridge center german life culture 3 a selected aspects german life culture might restricted politics religion business environment multicultural issues reutlingen center 
19,GS 394,care professional apprenticeship 1 designed provide opportunity observe care professionals a hospital clinic setting spend least 120 hours shadowing care professionals submit a daily journal paper detailing experiences advisor s/u 200 approval advisor 
20,GS 395,independent project 1-4 independent project conducted a topic selected a group individual graded s/u administered dean desire a specialized project a proposal independent project submitted least three weeks before beginning registration period project occur further details application form obtained office dean sciences sciences 68 natural science independent project 4 elective options 
21,NS 101,introduction forensic science 2+3 3 forensic science application scientific principles criminal civil laws a criminal justice system goal toward establishment guilt innocence designed introduce specialized fields forensic science fundamental principles science technology upon apply a number suspicious situations criminal cases intended non-science partial fulfillment natural science open received 
22,NS 103,practical stream stewardship save planet trout a time 2+3 3 interdisciplinary laboratory designed train apply scientific method restore a river site visits field observations survey a river discover limiting factors then plan execute improvements discussions finding community partners permitting financing restorations learning a philosophy guides attainable ends fieldwork suited someone active lifestyle enjoys outdoors a hybrid taught summer ii lectures online laboratories fieldwork saturdays 9 a.m. 4 p.m 
23,NS 104,principles evolution 2+2 3 introduction evolutionary principles mutation selection genetics abiogenesis speciation responses evolutionary theory darwinism eugenics creationism discussed intended non-science partial fulfillment natural science a laboratory component 
24,NS 105,discovering insects pests pals 2+3 3 introduces biodiversity bizarre alien insects uses insects a platform discuss important biological principles insects a life form interaction insects humans insects medical/forensic importance lab focuses basic insect identification insect behavior experiments intended non-science partial fulfillment natural science a laboratory component 
25,PHYS 490,a foundational principles assumptions scientific endeavor various methodologies scope limitations illustrations historical case scientific revolutions '' ethical moral connections between personal professional lives a science philosophy requirement cross-listed exploration scientific enterprise involving a foundational principles assumptions scientific endeavor various methodologies scope limitations illustrations historical case `` scientific revolutions '' ethical moral connections between personal professional science lives a science philosophy requirement cross-listed scientific endeavor 3 physics astronomy 230 two concentrations physics been designed meet ' educational career goals departmental advisor assist selecting most appropriate physics concentration apply fundamental physics concentration intended primarily interested pursuing a career physics intend pursue graduate physics addition core recommended scientific endeavor 3 physics astronomy 231 bachelor science – physics astronomy minimum 32 core scientific endeavor 3 assumed acquire competency least computer programming language fortran c c++ electives complete minimum drawn phys astr 200-level 1 hour phys/ '' 
26,ACRS 325,actuarial modeling 3 actuarial science minimum 15 a smaller scale actuarial science provides a foundation desiring explore a career actuary three five considerable prerequisites a interested consult his her advisor soon possible plan a expected most prerequisites /525 actuarial modeling 3 a actuarial models context insurance mathematics finance interest theory annuities mortality tables basic life contingencies actuarial professional issues normally alternate 
27,ACRS 386,internship actuarial science 1-3 opportunities direct supervised public agencies private industry insurance companies consulting firms s/u 
28,ENGL 490,literature approval committee coordinator 3 note english offers under 365 390 applicable program recent offerings novel criticism literary realism fiction women literature approval committee coordinator 3 note english offers under 365 390 applicable program recent offerings novel criticism literary realism fiction women /590 literature* 3 open-topic concern a single writer group writers a literary type theme e.g politics literature novel criticism sacred tales black spiritual narratives a contemporary form e.g contemporary poetry aspect modern popular culture english 137 
29,HIST 493,research approval committee coordinator 3 note frequently offers seminars under 390 492 see 493 applicable program recent offerings slavery americas south environmentalism pearl harbor immigration research approval committee coordinator 3 note frequently offers seminars under 390 492 see 493 applicable program recent offerings slavery americas south environmentalism pearl harbor immigration research 3 twelve 300 400-level least fields americas european non-western note research 3 fifteen 300 400-level least fields americas european non-western note research 3 offers intensive research primary secondary sources instruction historical methodology a paper constitutes largest part 's different 
30,THEO 368,native religions 3 area minimum 24 a fulfilling field under a option present area interested persons schedule a visit committee coordinator program core 12 twelve options /568 abrahamic religions 3 a a selected topic those religious traditions judaism christianity islam trace abraham different abrahamic religions 3 foreign language 4 maximum engineering 321 global awareness 
31,AMST 495,independent 3 independently supervised taken under direction a member administrative committee usually 's senior expected produce a paper reflects intensive reading research area pertaining culture employ interdisciplinary methods characteristics a field before registering submit a prospectus administrative committee approval 
32,ART 102,renaissance modern 3 3 degrees completion degree sciences a leads bachelor degree intended provide a background specialization possible b.a program consult concerning state approval schedules take a a schedules approved advisor prior beginning expect teach consult early possible appropriate advisor concerning state renaissance modern 3 a survey renaissance 19th field trip fine performing component 
33,ART 101,ancient medieval 3 a survey prehistoric times gothic period field trip fine performing component 
34,ART 311,/511 theory 1-4 investigation periods developments visual included historical issues contemporary symbolism global field trip provided different fine performing component fine arts/fine arts-literature requirement appropriate non- western third requirement appropriate supervised reading research substituted chair committee 
35,ART 318,/518 nineteenth european 3 a tracing themes 19th european fine performing component 
36,ART 321,/521 architecture 3 a survey painting sculpture building beginning earliest settlements virginia new england several areas focus integrated field trips museums architectural tour landmark buildings placed colonial modern architecture nineteenth realism romanticism emergence modernism abstraction twentieth fine performing component museum 
37,ART 210,museum 3 introduces practices museums collection maintenance nationally-recognized brauer museum duties director curator registrar preparator discussion texts museum operations exposure careers museums meetings professionals field fine performing component 78 digital studio 
38,ART 121,drawing 0+6 3 a basic fundamentals drawing various media field trip fine performing component 
39,ART 130,introduction 2d 3d design 0+6 3 introduction visual language materials studio explore two-dimensional three-dimensional elements principles organization a materials ink paint collage photomontage wire plaster wood etc field trip fine performing component 
40,ART 132,introduction design digital media 0+6 3 introduction basic elements principles digital media basic familiarity adobe photoshop adobe illustrator time-based media field trip fine performing component 
41,ART 151,ceramics 0+6 3 basic ceramic processes wheel throwing hand building coiling field trip fine performing component 
42,ART 162,photography i 0+6 3 introduction techniques aesthetics color photography a working 35mm camera field trip fine performing component 
43,ART 163,introduction digital photography 0+6 3 introduction digital photography addressing images made seen valued a working digital camera field trip fine performing component 
44,ART 215,printmaking 0+6 3 gain a basic familiarity various methods creating original prints whereas forms pictorial focus creation a unique product printmaking primarily creating a matrix multiples generated types printmaking covered serigraphy screenprinting intaglio specifically drypoints made plexiglass plates monotype relief concepts proofing editioning intaglio press particular projects fine performing component 
45,ART 221,painting 0+6 3 problems painting oil media color theory composition field trip fine performing component 
46,ART 227,figure drawing 0+6 3 intermediate drawing human figure placed unique formal technical conceptual issues involved representation human form media pencil charcoal conté crayon pen brush ink field trip fine performing component 
47,COMM 230,introduction principles graphic design placed typographic solutions works created macintosh computers fine performing component 79 
48,ART 251,sculpture 0+6 3 problems forming sculptural statements various materials techniques concrete casting metal welding wood construction etc field trip fine performing component 
49,ART 262,/562 advanced black white photography 0+6 3 advanced techniques aesthetics black white photography medium large formats available a working 35 mm camera field trip 
50,COMM 324,create video audio developing experimental techniques understanding function time medium collaboratively independently observe a portion aesthetics film video audio 
51,COMM 331,focuses wide web communication objectives functions operations advanced web design software integration digital audio video web content individual projects online content delivery components fine performing component 
52,ART 387,motion graphics 0+6 3 introduced motion graphics production adobe after effects related software create animations sound tracks fine performing component 
53,ART 335,studio thesis planning 3 dedicated research planning documentation presentation 's proposal preparation thesis project prior acceptance into senior thesis program 
54,ART 336,digital media thesis planning 3 dedicated research planning documentation presentation 's proposal preparation thesis project prior acceptance into senior thesis program 
55,ART 390,/590 special 3 specialized practice teaching arranged a professor advanced crafts liturgical design etc included s/u option stipulated beginning field trip a formal written proposal before registration proposal becomes a permanent part ’ s file 
56,ART 399,colloquium 0 a provides weekly opportunities examine a variety art-related events register 
57,ART 435,senior thesis studio 3 intense project-driven learning supervised faculty spend entire working projects designed presented approved previous final works created time exhibited end 
58,ART 436,senior thesis digital 3 intense project-driven learning supervised faculty spend entire working projects designed presented approved previous final works created time exhibited end 
59,BIO 496,research biology 1-2 additional two chemistry please see description bachelor page 51 information bachelor science – biology minimum 28 research biology 1-2 additional two chemistry organic chemistry second another science please see description bachelor science page 56 information biology 82 bachelor science – biology minimum 32 research biology 1-2 special research problems additional s/u optional 
60,BIO 498,additional two chemistry organic chemistry please see description bachelor science page 56 information bachelor science – biology minimum 40 
61,BIO 489,counted toward departmental depending career goals special graduate schools professional programs advised plans advanced chemistry advanced mathematics calculus computer science physics statistics biology minimum 15 counted toward departmental minors additionally exercise science counted toward departmental secondary intending meet licensure secondary biology primary content area complete a b.s least 32 hours biology 
62,BIO 205,additional biology human biology biology research intensive concentration research concentration intended primarily interested pursuing graduate qualifying participate highly-selective program applications additional information program available office chair biology 83 biology research intensive concentration bachelor science minimum 33 fundamental nutrition 3 a basic principles human nutrition practical application a focus sports nutrition open received 
63,BIO 490,additional two chemistry organic chemistry please see description bachelor science page 56 information note achieve maintain a gpa 3.000 overall qualify remain program note neither biological 2-4 a consideration various biology lectures laboratory field conferences related staff interests taken once different 
64,BIO 125,biotechnology 3+2 4 introductory modern biology those aspects biotechnology affect welfare humanity emphasized recommended non-science wish take a biology partial fulfillment natural science a laboratory component open received 
65,BIO 151,human anatomy physiology i 3+3 4 introductory physiochemical nature cells tissues cell division human genetics musculoskeletal system nervous system special senses chemical control a laboratory component partial fulfillment natural science nursing physical allied register concurrently 
66,BIO 152,human anatomy physiology ii 3+3 4 a continuation human anatomy physiology i. a hematology anatomy physiology organ systems cardiovascular respiratory digestive excretory endocrine reproductive a laboratory component partial fulfillment natural science 
67,BIO 171,unity life 3+3 4 a organic molecules cells tissues organs biology biology minors placed principles unify living forms structure energetics physiology inheritance development a laboratory component partial fulfillment natural science biology biology minors pre-medical pre-professional 
68,BIO 172,diversity life 3+3 4 a survey kingdoms organisms relationships origins roles economy nature structures functions life cycles development distribution ecology evolution economic importance representative members a laboratory component field trips partial fulfillment natural science 
69,BIO 195,introduction biological research 1 introduction biological research methods literature laboratory typically taken freshman s/u 
70,BIO 215,fundamental microbiology engineers 3 a fundamental structure function growth microorganisms roles microorganisms industry environment considered open enrolled engineering sophomore standing consent chair 
71,BIO 250,human environmental biology 3 a relationships between humans technology environment placed ecological principles human population growth resources pollution elementary conservation requirement field trips 
72,BIO 270,genetics genome evolution 3+3 4 introductory basic laws genetics physical chemical basis inheritance genes functional structural units heredity development mutation variation evolution genomes human genetics implications discussed a laboratory component partial fulfillment natural science genetics genome evolution explores complications simple mendelian genetics related genetic technologies human genome mapping sequencing evolution complex genetic traits gene therapy genetic testing dna fingerprinting special attention given ethical issues raised emerging technologies genetics biology 86 genetics genome evolution 3+3 4 options 
73,BIO 290,biological 2-4 a consideration various biology lectures laboratory field conferences related staff interests taken once different a laboratory component examples probable offerings tissue culture parasitology 
74,BIO 310,evolution 3 explores principles modern evolutionary biology life earth population genetic models explore evolutionary change molecular phylogenetic approaches understanding evolutionary theory application evolutionary theory medicine ecology covered 
75,BIO 320,comparative vertebrate anatomy 2+3 3 a comparative representative vertebrate animals evolution structures functions laboratory dissections a laboratory component 
76,MATH 321,application mathematical methods concepts infectious diseases analysis outbreaks control methods vaccinations differential equations elementary matrix algebra usually online summer 
77,BIO 330,arthropods disease 3 a arthropods cause disease humans animals focus biology arthropods make effective vectors disease control arthropod borne disease discussed change new diseases emerge possible mosquito biology malaria dengue hemorrhagic fever bed bugs lyme disease 
78,BIO 350,field biology 2+4 3 designed acquaint organisms likely encounter field late winter months lectures emphasize flowering plants and/or birds field attention paid common conspicuous organisms field trips a laboratory component 
79,BIO 360,modern microscopy 2+3 3 advanced practical techniques light microscopy scanning electron microscopy digital image processing placed upon producing micrographs convincingly illustrate results biology experiments collaboration investigators strongly encouraged a laboratory component modern microscopy 2. completing a chemistry encouraged take 
80,BIO 370,neurobiology 3 organization function vertebrate nervous system tissue organismal levels focus cellular molecular neurobiology main electrochemical bases neural communication cellular bases sensations motor behaviors homeostasis read primary literature 
81,BIO 380,principles human physiology 3 a function interactions between organ systems mechanisms regulate physiology placed basic principles homeostasis introduction disease physiology drug actions open 
82,BIO 430,plant biology 3+3 4 introduction principles methods plant systematics understanding plant form function natural laboratories emphasize genomics shaping views plant evolution laboratory a survey plant taxonomy flora midwest field trips 
83,BIO 435,insect biology 3+3 4 a biology insects morphology reproduction feeding behaviors evolutionary successes lab requires insect collection collecting field trips 
84,BIO 440,ecology 3+4 4 a organisms relationship physical biotic environment there considerable field local terrestrial aquatic habitats field trips a laboratory component 
85,BIO 445,forensic biology 3+3 4 a biological fields associated forensic science forensic entomology anthropology botany taphonomy serology discussed detail laboratory focus field collection techniques evidence recovery biological specimens field trips 
86,BIO 450,molecular biology 3+3 4 a molecular basis genetic interactions processes prokaryotic eukaryotic organisms laboratories emphasize standard microbiological techniques recent advances gene cloning molecular genetics 
87,BIO 460,cell biology 3+3 4 a fundamental physiological activities animal plant cells tissues lectures assigned readings laboratory cell structure organelles energy transformation membrane transport excitability contraction signal transduction 
88,BIO 486,internship biological science 0.5-2 gain biology working private public research/diagnostic labs state federal agencies environmental consulting firms nonprofit environmental groups appropriate organizations final written report counted toward a a s/u biology 87 
89,BIO 493,biology 1 staff presentation discussion selected biology current animal behavior biological controversies embryology immunology diet disease intended seniors normally three so a two-year period a broad spectrum available a maximum four seminars different credited toward graduation s/u optional 
90,CHEM 499,chemistry colloquium 4 0 three additional 300 400 level chemistry chemistry 89 bachelor science – chemistry – double science minimum 27 options chemistry colloquium 4 0 three additional 300 400 level chemistry combined a minimum another science see page 56 bachelor science – chemistry minimum 32 options chemistry colloquium 6 semesters* 0 seven additional 300 400 level chemistry *4 secondary chemistry 90 acs certified bachelor science – chemistry minimum 43 degree option meets guidelines chemical society options chemistry colloquium 6 0 three additional 300 400 level chemistry chemistry colloquium 0 chemistry expected register every report forum those registered 
91,CHEM 497,498. acs certified bachelor science – biochemistry minimum 43 chemistry 12 biology degree option meets guidelines chemical society options 498. chemistry minimum 16 a minimum 16 hours chemistry least 8 numbered 200 constitutes a chemistry 91 secondary intending meet licensure secondary chemistry primary content area complete a b.s least 32 chemistry 32-credit 
92,CHEM 222,a cumulative point average 2.500 mathematics science further information refer cooperative sciences page 64. examination 
93,CHEM 121,earned international baccalaureate program subject examination chemistry approval schedules taking a a chemistry schedules approved departmental advisor beginning chemistry toward a chemistry toward fulfillment natural science chemistry i 3+3 4 introductory principles chemistry science first a two sequence a laboratory component minors chemistry pre-medical pre-dental medical technology programs except take descriptive inorganic chemistry a laboratory component open a challenging in-depth laboratory program a laboratory component intended willing intensify learning recommended chemistry open receive a score 45 clep chemistry exam chemistry 
94,CHEM 111,introduction chemistry 3+2 4 a overview organic biochemistry intended non-science elect chemistry meet part natural science requirement a laboratory component a elementary nursing physical ordinarily take meet chemistry requirement open nursing once nursing take a series evaluative achievement tests throughout nursing coursework fee currently 996 payable registered 
95,CHEM 115,essentials chemistry engineers 3+2 4 a introductory principles chemistry engineering a laboratory component open offering additional principals chemistry engineering especially civil engineering analytical chemistry a laboratory component open essentials chemistry engineers 3+2 4 options 
96,CHEM 120,chemistry peer learning 0 optional structured session teams together develop improve problem solving professional communication chemistry s/u corequisite 
97,CHEM 122,a challenging in-depth laboratory program a laboratory component intended willing intensify learning recommended chemistry open 
98,CHEM 230,quantitative analysis 3+4 4 a theory chemical equilibria electrochemistry elementary chemical analysis a laboratory component laboratory consists introduction gravimetric volumetric instrumental methods analysis 
99,CHEM 311,elementary physical chemistry 3+3 4 a one-semester physical chemistry covering elementary thermodynamics kinetics together applications various chemical systems a laboratory component open taken 
100,CHEM 315,biochemistry i 3+3 4 structure function proteins carbohydrates nucleic acids lipids overview metabolism integration control a laboratory component recommended prerequisite focused biosynthesis nucleic acids proteins regulation processes special biochemistry chemistry 93 biochemistry i 3+3 4 total 18 completing a biology encouraged take 
101,CHEM 340,forensic chemistry 2+3 3 a chemical fields associated forensic science toxicology illicit drug analysis trace evidence analysis a laboratory component focus procedures instrumentation commonly employed a forensic chemistry laboratory evidence collection preparation analysis spectrophotometry chromatography microscopy 
102,CHEM 430,advanced instrumental analysis 2+4 3 depth theory practice nuclear magnetic resonance spectroscopy chromatography electrochemistry a laboratory component electronics operational amplifiers computer interfacing 
103,CHEM 440,materials chemistry 3 introduction materials into four broad classifications electronic materials polymers ceramics metals synthetic fabrication techniques 
104,CHEM 450,advanced organic chemistry 3 a physical organic chemistry strategy modern organic synthesis linear free energy relationships woodward-hoffman rules semiempirical quantum mechanical calculation techniques organic molecules 
105,CHEM 486,internship chemistry 0.5-2 gain chemistry working industrial government laboratories written report s/u additional chemistry 94 
106,CHEM 496,directed research chemistry 0-2 a conducts chemical research guidance a chemistry faculty member literature laboratory taken a written report oral report 
107,COMM 490,communication approved 3 cooperative qualifying participate prearranged approved professional experiences employment financially reimbursed cooperating employer earned program apply toward substitute internship further information refer cooperative sciences page 64. cinema media communication offers several communication 3 examined involve in-depth a particular subject a field communication digital media vary 
108,COMM 100,communication processes practice 3 views communication a critical cultural perspective introduced processes communication operate a global context oral written formats research design specific areas communication public communication mass media broadcast print public relations digital mass communication technology 
109,COMM 110,internet communication 3 introduces development internet a communication medium taught online on-campus sessions communication 99 
110,COMM 145,interpersonal communication 3 provides a verbal nonverbal communication a variety person-centered levels intrapersonal dyadic small groups interactive development face-to-face digital modalities strategies self-presentation relational development personal professional contexts 
111,ART 230,provides introduction graphic design typographic solutions content computer-generated illustration charts graphs newsletter related page layout procedures prior computer fine performing component 
112,COMM 243,public communication 3 develops speaking listening context informative persuasive commemorative group presentations introduced fundamental concepts effective public speaking audience analysis outlining research delivery critical listening evaluation appropriate aides technology individually collaboration public communication 3 4. addition cultural diversity 3 b. electives 4-7 
113,COMM 244,persuasion advocacy 3 theory argumentation advocacy persuasion applied a variety communication contexts written advocacy prepare a comprehensive final project related field 
114,COMM 251,studio television production 3 introduced practice techniques concepts related television studio production project management covers planning producing live studio‐environment television programs examines different roles responsibilities production personnel provides practice terminologies associated producing directing studio television productions addition gain hands‐on producing programs vutv 
115,COMM 261,foundations journalism 3 introduces basic concepts journalism implement inverted news pyramid while analyzing various writing styles placed copy editing associated press style 
116,COMM 265,public relations principles 3 provides overview key concepts field public relations development principles practices public relations ethical considerations societal impact examined 
117,ENGL 370,introduces basic concepts film analysis employ concepts analyzing describing varied styles functions contexts classical hollywood documentary avant garde cinema fine performing component /570 modern contemporary fiction 3 readings significant works british anglophone fiction writers since 1900 possible attention related influential writings time periods languages introduction cinema 3 least areas 6 production 
118,COMM 271,cinema production 3 provides a practical hands-on overview single camera field production techniques pre-production camera operation aesthetics lighting sound recording non-linear editing placed language audio-visual storytelling a series individual projects fine performing component 
119,COMM 286,campus media practicum 1 practicum designed provide substantive approved position staff campus media outlets wvur campus radio station torch campus newspaper vutv campus cable channel beacon campus yearbook news writing editing programming traffic production promotion design approved assignments every s/u a total 3 hours communication 100 
120,COMM 291,cinema 3 examine analyze cinema a particular country region cultural context relation global film production exhibition different fine performing cultural diversity component 
121,COMM 301,/570 communication law ethics 3 provides introduction legal regulation communication traditional digital environments first amendment defamation privacy reporter privileges rights government regulation broadcast media indecent obscene speech commercial speech introduction copyright law explores moral ethical dilemmas arise context media communication 
122,COMM 302,/572 intellectual property 3 explores legal rights nontangible property creative works placed copyright trademark law software digital media protection unfair competition 
123,COMM 311,/511 organizational communication 3 explores communication theory practice complex organizations language technology shape contemporary a critical cultural perspective communication allows explore strategic communication advocacy affect broader discourses career issues resolution modern life organizational communication 3 nursing professions 356 
124,COMM 322,/503 sports media formats 3 serves introduction sports media industry focuses reporting producing planning goes into forms media addition sports media ethics sports journalism role sports society examined 
125,ART 324,create video audio developing experimental techniques understanding function time medium collaboratively independently observe a portion aesthetics film video audio 
126,ART 331,focuses wide web communication objectives functions operations advanced web design software integration digital audio video web content individual projects online content delivery components fine performing component 
