,CourseID,Descriptions,School
13,PE 1626 Wilderness First Responder ,"Fall, spring. Offered over winter break and ",BrownCourses
14,PE 1413 Swedish Massage II ,Fall and spring. Fee charged. Students build on skills learned in Swedish massage as they participate in instruction practice sessions every week. Additional massage techniques and applications are added to basic skills. Some techniques from other types of massage are also introduced. ,BrownCourses
15,BIOAP 3190 Animal Physiology Experimentation (also BIOMS 3190) ,"Fall. 4 credits. Pre- or corequisite: BIOAP 3110. For pre-med, pre-vet juniors and seniors and graduate students interested in biomedical science. Letter grades only. ",BrownCourses
16,"BIOEE 3690 Chemical Ecology (also BIONB/ENTOM 3690) Spring. 3 credits. Prerequisites: one majors-level biology course and one semester introductory chemistry for majors or nonmajors or equivalents, or permission of instructor. S–U or letter grades. J. S. Thaler, ","A. Kessler, A. Agrawal, and R. Raguso. Why are chilies so spicy? This course examines the chemical basis of interactions between species and is intended for students with a basic knowledge of chemistry and biology. Focuses on the ecology and chemistry of plants, animals, and microbes. Stresses chemical signals used in diverse ecosystems, using Darwinian natural selection as a framework. Topics include plant defenses, microbial warfare, communication in marine organisms, and human pheromones. ",BrownCourses
17,BIOMG 4350 Undergraduate Biochemistry Seminar ,"Fall or spring. 1 credit; may be repeated. Prerequisites: upper-class standing; BIOMG 3300, or 3330, or 3350 or 3310/3320, or written permission of instructor. S–U grades only. D. Wilson. ",BrownCourses
18,BIOMG 7800 Current Topics in Genetics and Development ,"Fall and spring. 1 credit; may be repeated for credit. Limited to 20 students. Primarily for graduate students; priority given to majors in field of genetics. Prerequisite: for undergraduates, written permission of instructor. No auditors. S–U grades only. Staff. ",BrownCourses
19,BIOMG 8340 Quantitative Biology for Molecular Biology and Genetics ,"Spring. 2 credits. Prerequisite: first-year Ph.D. students in the graduate fields of biochemistry, molecular and cell biology, or genetics and development, all others with permission of instructor. Letter grades only. Lec. J. A. Pleiss and D. I. Shalloway. ",BrownCourses
20,"BIOPL 3420 Plant Physiology, Lectures ",Spring. 3 credits. Prerequisites: two majors-level biology courses. Corequisite: BIOPL 3421 or written permission of instructor. May not be taken for credit after BIOPL 2420 unless written permission obtained from instructor. Lec. T. G. Owens. ,BrownCourses
21,CIS 4999 Independent Reading and Research ,"Fall, spring. 1–4 credits. Independent reading and research for undergraduates. ",BrownCourses
22,CS 4420 Computer Architecture (also ECE 4750) ,Fall. 4 credits. Prerequisites: ENGRD 2300 ,BrownCourses
23,ENGRD 2610 Introduction to Mechanical ,writing requirement using one of the six alternatives below. See www.engineering. cornell.edu/ECP for more information. ,BrownCourses
24,BEE 1200 The BEE Experience or ENGRG 1050 (counted as an advisor-approved elective) 1 ,ENGRD 2020 Mechanics of Solids 4 ,BrownCourses
25,CHEME 4620 Chemical Process Design ,4 ,BrownCourses
26,"ENGRD 2700, MATH 4710. CS majors in ",the College of Engineering can use ECE ,BrownCourses
27,MSE 2060 Atomic and Molecular Structure of Matter ,MSE 2610 or MSE 2620 (whichever was not taken as a distribution course) ,BrownCourses
28,MAE 3050 Intro to Aeronautics ,MAE 3060 Spacecraft Engineering ,BrownCourses
29,"MAE 4170/5170 Introduction to Robotics: Dynamics, Control, Design ",MAE 4550/CEE 4770/MSE 5550/TAM 4550 Introduction to Composite Materials ,BrownCourses
30,AEP 3210 Mathematical Physics I ,MATH 3230 Introduction to Differential Equations ,BrownCourses
31,CS 4210 Numerical Analysis and Differential Equations ,ENGRD 3200 Engineering Computation ENGRD 3220 Introduction to Scientific Computation ,BrownCourses
32,CEE 3040 Uncertainty Analysis in Engineering ,ECE 3100 Introduction to Probability and Inference for Random Signals and Systems ,BrownCourses
33,AEP 3330 Mechanics of Particles and Solid Bodies ,CEE 3310 Fluid Mechanics ,BrownCourses
34,BIOAP 3110/VTBMS 3460 Introductory ,Animal Physiology Lectures ,BrownCourses
35,AEP 2520/ENGRD 2520 The Physics of Life ,BEE 3600/BME 3600 Molecular and ,BrownCourses
36,BIONB 3300/BME 3300/COGST 3300/ PSYCH 3300 Introduction to Computational Neuroscience ,BIONB 4910/BME 4910 Principles of Neurophysiology ,BrownCourses
37,AEP 4700/BIONB 4700/BME 5700 ,Biophysical Methods ,BrownCourses
38,CEE 3410 Introduction to Geotechnical Engineering ,CEE 4400 Foundation Engineering ,BrownCourses
39,CEE 3710 Structural Modeling and Behavior ,CEE 3720 Intermediate Solid Mechanics ,BrownCourses
40,CEE 3310 Fluid Mechanics (CHEME 3230 or MAE 3230 may be substituted for CEE 3310) ,CEE 3320 Hydraulic Engineering ,BrownCourses
41,ENGRD 2700 Basic Engineering ,Probability and Statistics ,BrownCourses
42,ORIE 3150 Financial and Managerial ,Accounting ,BrownCourses
43,ORIE 4850 Applications of Operations ,Research and Game Theory to ,BrownCourses
44,MSE 2060 Atomic and Molecular Structure of Matter ,MSE 3010 Materials Chemistry ,BrownCourses
45,ENGRD 2700 Basic Engineering ,Probability and Statistics ,BrownCourses
46,ENGRI 1110 Nanotechnology (also MSE 1110) ,"Fall. 3 credits. C. Umbach. Nanotechnology has been enabling the Information Revolution with the development of even faster and more powerful devices for manipulation, storing, and transmitting information. In this hands-on course students learn how to design and manipulate materials to build devices and structures in applications ranging from computers to telecommunications to biotechnology. ",BrownCourses
47,AEP 4340 Continuum Physics ,Spring. 4 credits. Prerequisites: AEP 3330 ,BrownCourses
48,BME 5830 Cell-Biomaterials Interactions ,"Spring. 3 credits. Corequisites: BME 3010, ",BrownCourses
49,"CEE 6750 Concrete Materials and Construction (s,3) ","CEE 6760 Advanced Composite Materials (s,4) ",BrownCourses
50,"CEE 6650 Transportation, Energy, and ",Environment Systems for ,BrownCourses
51,"CS 6780 Machine Learning and Pattern Recognition Fall. 4 credits. Prerequisites: programming skills (e.g., CS 2110 or CS 3110) and basic knowledge of linear algebra and probability theory (e.g. CS 2800). ","CS 6782 Probabilistic Graphical Models (also BTRY 6790) Fall. 4 credits. Prerequisites: probability theory (BTRY 4080 or equivalent), programming and data structures (CS 2110 or equivalent); a course in statistical methods is recommended but not required (BTRY 4090 or equivalent). ",BrownCourses
52,ECE 3030 Electromagnetic Fields and Waves ,"Fall, summer. 4 credits. Prerequisites: grade ",BrownCourses
53,ECE 4870 Introduction to Radar Remote Sensing (also EAS 4870) ,Spring. 3 credits. Prerequisites: ECE 2200 and 4860 (or grade of B or better in ECE 3030). ,BrownCourses
54,"NSE 4840 Introduction to Controlled Fusion: Principles and Technology (also AEP/ECE 4840, MAE 4590) ","Spring. 3 credits. Prerequisites: PHYS 1112, 2213, and 2214, or equivalent background in electricity and magnetism and mechanics; and permission of instructor. Intended for seniors and graduate students. ",BrownCourses
55,"ORIE 5142 Systems Analysis Architecture, Behavior, and Optimization (also CEE/CIS 5050, ECE 5130, MAE 5920) ","Spring. 3 credits. Prerequisite: CEE/CIS 5040, ECE 5120, ORIE 5140, or MAE 5910. For description, see SYSEN 5200. ",BrownCourses
56,"TAM 6550 Advanced Composite Materials (also CEE 6760, MAE/MSE 6550) ",Spring. 4 credits. TAM 4550/5550 not a pre,BrownCourses
57,HADM 4438 Seminar in Culture and Cuisine ,Spring. 3 credits. Elective. Limited to 20 ,BrownCourses
58,"HADM 2201, including in-depth statistical techniques that may not be mainstream within the hospitality industry today, but which are growing in importance. Topics include more multiple regression; simple and multiple logistic regression; one- and two-factor ANOVA, with multiple comparison procedures; chi-squared tests of independence of categorical factors; tests of proportions; and predicting and forecasting with artificial neural networks. Computational programs include Minitab (used in HADM 2201) and Alyuda NeuroIntelligence. ",HADM 5503 Operations and Planning of ,BrownCourses
59,HADM 4445 Developing the Hospitality Entrepreneurship Business Plan ,"Fall, spring. 3 credits. Elective. Prerequisite: ",BrownCourses
60,HADM 2223 Financial Accounting Principles ,"Fall, spring. 3 credits. Elective. Prerequisite: ",BrownCourses
61,DEA 1102 Interior Design Studio II ,Spring. 3 credits. Option I DEA majors only. Prerequisite: DEA 1101. Option I majors must take DEA 1102 and 1150 concurrently. B– or higher in DEA 1102 required to take DEA 2201. Must complete incomplete grade in this course before taking DEA 2201. Cost of materials: approx. $200; shop fee: $10. P. Eshelman. ,BrownCourses
62,DEA 6680 Design Theory and Criticism Seminar ,Spring. 4 credits. Limited to 15 students. ,BrownCourses
63,FSAD 1360 Fiber and Yarn Analysis Laboratory ,Fall. 1 credit. Corequisite: FSAD 1350. ,BrownCourses
64,HD 7030: Teaching Assistantship. For students assisting faculty with instruction. Does not apply to work for which students receive financial compensation. ,HD 7040: Research Assistantship. For students assisting faculty with research. Does not apply to work for which students receive financial compensation. ,BrownCourses
65,PAM 3800 Human Sexuality ,Spring. 4 credits. Limited to 150 students. ,BrownCourses
66,ILRLE 9400 Workshop in Labor Economics ,Fall and spring. 3 credits. Intended for ,BrownCourses
67,NBA 5250 Energy Economics and Management ,Spring. 1.5 credits Prerequisite: NCC 5020. ,BrownCourses
68,NBA 6630 Managerial Decision Making ,"Fall. 3 credits. J. Russo. This course attempts to make its participants better managerial decision makers. However, most students find that the course applies equally well to their personal decisions. There are two other objectives. The first is to convey an enduring understanding of decision concepts, skills, and tools that, taken as a whole, comprise a troubleshooter’s guide to dealing with the uncertainty, complexity, and conflict of the professional world. The second is to provide a framework for a good decision process in which all of the decision concepts, skills, and tools fit coherently. The pedagogical approach uses lectures, in-class exercises, and applications. ",BrownCourses
69,NBA 6930 Strategy and Tactics of Pricing ,"Spring. 3 credits. V. Rao. Pricing is a critical management decision that has both strategic and tactical elements. The objective of this course is to introduce participants to proven techniques and frameworks for assessing and formulating pricing strategy and tactics. A marketing manager responsible for pricing needs to understand economic, psychological, and organizational factors. This course revolves around understanding how to make effective pricing decisions, while keeping in mind these factors. Some of the topics to be covered include the analysis of relevant costs, economic value analysis (EVA), measurement of price sensitivity, techniques for price differentiation, competitive pricing, and revenue management. This course should be useful for those pursuing careers in marketing, general management, and consulting. ",BrownCourses
70,LAW 6761 Principles of American Legal Writing ,"Fall, spring. 3 credits. Limited enrollment. Limited to graduate students. Satisfies LL.M. writing requirement. Graduate program grading: H, S, U. L. Knight. ",BrownCourses
71,LAW 6701 Legislation ,Spring. 3 credits. S–U or letter grades. ,BrownCourses
72,"NS 3470 Human Growth and Development: Biological and Behavioral Interactions (also HD 3470, BSOC 3471) ",Spring. 3 credits. Prerequisites: BIOG 1101 or 1109 or equivalent; HD 1150 or PSYCH 1101 or equivalent. S–U or letter grades. Offered alternate years. J. Haas and ,BrownCourses
73,VTMED 5300 Function and Dysfunction: Part I (Foundation Course IIIa) ,Spring. 9 credits. Prerequisite: first-year veterinary students; VTMED 5200. Letter grades only. Fee charged for course guide. Live animals used on limited basis for demonstration of noninvasive procedures. ,BrownCourses
74,VTMED 5705 Veterinary Practice: Introduction to Clinical Procedures (Foundation Course VIIe) ,Spring. 0.5 credit. Prerequisite: second-year veterinary students; VTMED 5704. Letter grades only. Fee charged for course guide. Live animals used in course instruction. ,BrownCourses
75,VTMED 6427 Timely Topics in Veterinary Parasitology: Small-Animal ,Spring. 0.5 credit. Minimum enrollment 2. Prerequisite: third- and fourth-year veterinary students. S–U grades only. ,BrownCourses
76,VTMED 6538 Special Problems in Equine Medicine ,Spring. 0.5 credit. Minimum enrollment 10; maximum 30. Enrollment by lottery. Prerequisite: third- and fourth-year veterinary students. S–U grades only. ,BrownCourses
77,VTMED 6726 Introduction to the Professional Literature ,Spring. 1 credit. Minimum enrollment 6; ,BrownCourses
78,AMST 1240 Democracy and Its Discontents: Political Traditions in the United States (also HIST 1240) (HA-AS) ,"Summer. 3 credits. N. Salvatore. An examination of democracy and its critics. The course explores the evolution of democracy in America, focusing on some of the dramatic and important episodes in American history. It considers the struggles over the emancipation of slaves in the 19th century and expanded rights for women and working people in the 20th century, free-speech issues, the civil-rights movement, religious-based critiques of American culture, and conservative critiques of American liberalism. The course serves as an investigation of the ways in which political expression takes forms in modern American culture. In addition to lectures, the course features several afternoon programs that include guest lecturers and hands-on instruction in how to use the modern electronic research library. (HI) ",BrownCourses
79,HINDI 1109–1110 Accelerated Hindi I and II ,"1109, fall; 1110, spring. 4 credits each semester. Students may not receive credit for both HINDI 1101 and 1109. Students may not receive credit for both HINDI 1102 and 1110. ",BrownCourses
80,CHEM 2900 Introductory Physical Chemistry Laboratory ,"Spring. 2 credits each semester. Lec, T R; ",BrownCourses
81,COML 4280 Biblical Seminar I (also RELST 4280) @ # (HA-AS) ,Fall. 4 credits. Limited to 15 students. ,BrownCourses
82,EAS 3010 Evolution of the Earth System ,EAS 3030 Biogeochemistry ,BrownCourses
83,EAS 2500 Meteorological Observations and Instruments ,Fall. 4 credits. Prerequisite: EAS 1310. ,BrownCourses
84,EAS 4540 Petrology and Geochemistry (PBS) ,Spring. 4 credits. Prerequisite: EAS 4530 or ,BrownCourses
85,EAS 5750 Planetary Atmospheres (also ASTRO 6575) ,"Fall. 4 credits. Prerequisites: undergraduate physics, vector calculus. Offered alternate years. P. Gierasch. ",BrownCourses
86,ECON 7585 Behavioral Economics II ,Fall. 4 credits. Prerequisite: ECON 6090– ,BrownCourses
87,"THETR 2150, AMST 2105, MUSIC ",2250) (LA-AS) ,BrownCourses
88,ENGL 6306 Figures of Thought: Africana Intellectuals (also ASRC 6306) ,G. Farred. ,BrownCourses
89,GERST 3542 Death of God (also FREN/ HIST/JWST/RELST 3342) (HA-AS) ,"Fall. 4. credits. C. Robcis. For description, see HIST 3342. ",BrownCourses
90,GOVT 4999 Undergraduate Independent Study ,"Fall or spring. 1–4 credits. One-on-one tutorial arranged by the student with a faculty member of his or her choosing. Open to government majors doing superior work, and it is the responsibility of the student to establish the research proposal and to find a faculty sponsor. Applicants for independent study must present a well-defined program of study that cannot be satisfied by pursuing courses in the regularly scheduled curriculum. No more than 4 credits of independent study may count toward fulfillment of the major. Students who elect to continue taking this course for more than one semester must select a new theme or subject each semester. Credit can be given only for work that results in a satisfactory amount of writing. Emphasis is on the capacity to subject a body of related readings to analysis and criticism. Keep in mind that independent study cannot be used to fulfill the seminar requirement. The application form for independent study is available in 210 White Hall and must be completed at the beginning of the semester in which the course is being taken. ",BrownCourses
91,HIST 1600 History of Law (HA-AS) ,Spring. 4 credits. H. Case and ,BrownCourses
92,HIST 2271 Family Life in Renaissance Italy (also ITAL 2270) # (HA-AS) ,"Spring. 4 credits. J. Najemy. The seminar explores the structures and sentiments of family life in Renaissance Italy, from the 14th to the 16th century, through a combination of translated primary sources and modern studies. Chief among the primary sources are the 15th-century dialogues On the Family by the humanist Leon Battista Alberti, supplemented by diaries and memoirs, letters, sermons, and prescriptive writings by fathers, humanists, and churchmen. Among the topics to be investigated are the variety of family structures, marriage, sexual relations, wives and husbands, parents and children, families in politics, and family memory and commemoration in art and religious life. (ER) ",BrownCourses
93,HIST 2670 History of Rome I (also CLASS 2681) # (HA-AS) ,"Fall. 4 credits. Staff. For description, see CLASS 2681. ",BrownCourses
94,ARTH 4602 Buildings and Bodies: ,Constructing Spaces in Early Modern ,BrownCourses
95,ARTH 4610 Women Artists (also FGSS 4040) (LA-AS) ,"Fall. 4 credits. J. Bernstock. This seminar examines both feminist art criticism and the work of women artists from antiquity to the present. We consider the works of the most prominent women artists from each period in relation to the changing roles of women in society. The artists covered include Jennifer Barlett, Artemisa Gentileschi, Elizabeth Vigee-Lebrun, Mary Cassatt, Kathe Kollwitz, Georgia O’Keefe, Louise Nevelson, Joan Mitchell, Judy Chicago, and Barbara Kruger. ",BrownCourses
96,WRIT 4130 Service Learning and ,Democratic Citizenship: The ,BrownCourses
97,MUSIC 2303 Music and Human Life ,"Spring. 3 credits. E. Bates. An introduction to the study of music in cross-cultural perspective, through an exploration of three themes: the perception and cognition of music; the construction and contestation of nationalism, race, ethnicity, and folklore; and the effect of paradigm shifts in musical and non-musical technologies on music, musical instruments and society. Through this course, students will develop skills in doing ethnographic writing about music and culture. ",BrownCourses
98,NES 2650 Ancient Iraq (also JWST/ ARKEO 2650) ,"Spring.3credits.D.I.Owen.Providesanintroductorysurveyofthehistory,archaeology,andcultureofSumerandBabyloniafromthedawnofwritingtotheriseofPersia.",BrownCourses
99,PHYS 1112 Physics I: Mechanics (PBS) ,"Fall,spring,summer(six-weeksession).4credits.Primarilyforengineeringstudentsandprospectivephysicsmajors.(Seelistofoverlappingphysicscourses.)Prerequisite:MATH1910,1120,or1220.Recommended:coregistrationinMATH1920.CoregistrationwithMATH1910maybeallowedbyinstructorinexceptionalcircumstances.Fall,P.Krasicky;spring,staff.",BrownCourses
100,PHYS 3360 Electronic Circuits (also AEP 3630) (PBS) ,"Fall,spring.4credits.Prerequisites:undergraduatecourseinelectricityandmagnetism(e.g.,PHYS2208,2213,or2217)orpermissionofinstructor.Nopreviouselectronicsexperienceassumed,althoughcoursemovesquicklythroughintroductorytopicssuchasbasicDCcircuits.Fallsemesterusuallyhassmallerenrollment.S–Ugradeoptionavailablebypermissionofinstructorforstudentswhodonotrequirecourseformajor.Fall,",BrownCourses
101,PHYS 4455 Geometrical Concepts in Physics (PBS) ,Spring.4credits.Prerequisite:PHYS3323orequivalentandatleastcoregistrationinPHYS3318orpermissionofinstructor.Usuallyofferedeveryotherspring.,BrownCourses
102,PHYS 7651 Relativistic Quantum Field Theory I ,"Fall.3credits.Undergraduates,letter",BrownCourses
103,RUSSA 2203–2204 Intermediate Composition and Conversation ,"2203,fall;2204,spring.4creditseachsemester.Satisfies Option 1.Prerequisite:forRUSSA2203,RUSSA1122and1104,orRUSSA1122withgradehigherthanB,orplacementbydepartment;forRUSSA2204,RUSSA2203orequivalent.R.Krivitsky,Guidedconversation,translation,reading,pronunciation,andgrammarreview,emphasizingthedevelopmentofaccurateandidiomaticexpressioninthelanguage.CoursematerialsincludevideoclipsfromanoriginalRussianfeaturefilmandworkwithRussianwebsites,inadditiontothetextbook.",BrownCourses
104,AFRI 0090. An Introduction to Africana Studies.,"This course introduces students to the vibrant and contested field ofAfricana Studies by critically exploring and analyzing the links anddisjunctures in the cultural, political, and intellectual practices andexperiences of people of African descent throughout the African diaspora.Beginning with a critical overview of the history, theoretical orientations,and multiple methodological strategies of the discipline, the course isdivided into three thematic units that examine intellectuals, politics, andmovements; identity construction and formation; and literary, cultural, andaesthetic theories and practices in the African diaspora.",BrownCourses
105,AFRI 0110C. Autobiography of the Civil Rights Movement.,"Most of the rich written history of the civil rights movement originates fromfirst-hand accounts documented in oral histories and autobiographies. Thisinterdisciplinary course plots the milestones of the civil rights movementthrough the lens of several autobiographies. The aim is to critiqueautobiography as a historical document as well as use it to tell the storiesof the civil rights movement. We will compare and contrast different texts,analyze content and map a history of the era. Students will work with awriting fellow to develop one critical paper and one autobiographical paper.Enrollment limited to 19 first year students.",BrownCourses
106,AFRI 0210. Afro Latin Americans and Blackness in the Americas.,This course focuses on the position of Blacks in the national histories andsocieties of Latin America from slavery to the present-day. Emphasis is ona multidisciplinary engagement with issues and the exposure of studentsto the critical discussion of national images and realities about blacknessand Africa-descended institutions and practices. The role of racial issuesin national and transnational encounters and the consequences ofmigration of people and ideas within the hemisphere are explored.,BrownCourses
107,AFRI 0670. Global Black Radicalism.,"The decade from the mid-Sixties until the mid-Seventies witnessed the riseof Black Radicalism as a global phenomenon. The emergence of BlackPower in the US, Brazil and the Caribbean, the consolidation of liberationstruggles in Portuguese Africa and the rise of a Black Consciousnesstrend in Apartheid South Africa all represent key moments. What ledyoung activists to embrace “Black Power?” What led to the emergence ofMarxist movements in Portuguese Africa? What events in the Caribbeangave ascendancy to radical tendencies? And what forces contributedto the decline of these movements? This course seeks to answer thesequestions.",BrownCourses
108,AFRI 0980. Fela Kuti: African Freedom from Afrobeat to Afrobeats.,"Miles Davis famously described Fela Kuti (1938-1997) as “the future ofmusic.” Beyoncé’s attempt “to do something that sounds like Fela” sawher compose an unpublished 20-track album. Arguably Africa’s mostprolific and controversial artist of the twentieth century, Fela continues tobe invoked as musical genius and as icon of popular struggle. This courseinvites students to explore the complexities of Fela’s art and activism. Wemobilize his life/work as a springboard for examining emergent debatesabout African identity—from postcolonial masculinity to the creative logicsof African cities, from contemporary African youth culture to the genderedpolitics of cultural memory.",BrownCourses
109,AFRI 0990. Black Lavender: Black Gay/Lesbian Plays/DramaticConstructions in the American Theatre.,"An interdisciplinary approach to the study of plays that address theidentities and issues of black gay men and lesbians and offers variousperspectives from within and without the black gay and lesbian artisticcommunities. Focuses on analysis of unpublished titles. Also includespublished works by Baraka, Bullins, Corbitt, Gibson, Holmes, West, andPomo Afro Homos. Some evening screenings of videotapes. Enrollmentlimited to 20.",BrownCourses
110,AFRI 1020C. The Afro-Luso-Brazilian Triangle.,"Examines three historical components of the South Atlantic in terms ofhistory, culture, and contemporary political and economic consequences.European colonialism in Africa and Brazil constitutes the baseline for thisexploration, but the long and tardy nature of Portuguese colonialism inAfrica in comparison with other European colonial powers, especially in itspost-World War II manifestations, is our starting point. Enrollment limited to40.",BrownCourses
111,"AFRI 1020D. Race, Rights, Rebellion.","Provides an in-depth examination of different kinds of social movements.Emphasis will be placed on the theoretical and methodological distinctionsamong the various kinds of social protests and social movement actors.From anti-slavery revolts to struggles for independence to anti-apartheidmovements, key concepts will include power, resistance, subaltern,hegemony, identity politics and consciousness.",BrownCourses
112,AFRI 1030. Contesting the Carceral State.,"This course introduces students to the study of crime and justice throughBlack, feminist, queer and prison abolitionist frameworks, with a particularfocus on narratives by people of African descent in the U.S. since 1965.",BrownCourses
113,AFRI 1050A. Advanced RPM Playwriting.,Third level of RPM Playwriting; for students that have successfullycompleted RPM Playwriting and Intermediate RPM Playwriting(workshop). Instructor permission.,BrownCourses
114,AFRI 1050D. Intermediate RPM Playwriting.,Second level of RPM Playwriting; for students that want to continuedeveloping their RPM plays or want to begin a new project (workshop).,BrownCourses
115,AFRI 1050E. RPM Playwriting.,Research-to-Performance Method (RPM) Playwriting guides studentsthrough the process of developing new plays that are informed byscholarly research (workshop).,BrownCourses
116,AFRI 1060E. West African Writers and Political Kingdom.,"Do West African writers have a role to play in the changing politicallandscape of their countries? An examination of the ways and meansthrough which a select group of West African writers have dealt withissues that relate to the role of the state in the management of individualand group relations, the politics of gender, civil and military relations, andthe construction of new forms of civil society. Enrollment limited to 20.",BrownCourses
117,AFRI 1060U. An Introduction to Africa.,"Africa invokes myriad images in the global imagination. It figures indebates on the evolution of humans; in the formation of capitalism, andeven as a counterpoint to discourses on human progress. This courseinterrogates how “Africa” gets mobilized in popular discourse in the USand beyond. How might we reconcile the idea of Africa with contemporaryconditions of the African continent? We will not only examine Africathrough a broad range of disciplinary perspectives; but also becomefamiliar with social, cultural, political and economic diversity of the Africancontinent. We will engage the disciplines of history, economics, politics,cultural studies and gender studies among others.",BrownCourses
118,"AFRI 1100X. Black Speculative Fiction: World-Making and AlternativeUniverses, Science Fiction and Fantasy.","This class surveys the genre, including the work of George Schuyler, NaloHopkinson, Samuel R. Delaney, N.K. Jemison, Octavia Butler, CoslonWhitehead, and Tananarive Due, along with everything related, from comicbooks to album covers to filmic re-writings of canonical science fictionand fantasy works. The goal is to understand the history of the genre, itsrelationship to histories of anti-blackness and ideologies of black liberation,and its contributions to speculative fiction more broadly.",BrownCourses
119,AFRI 1110. Voices Beneath the Veil.,"VBV is an interdisciplinary exploration of African-American history andcultures through the analyses of Black authored plays from 1858 to thepresent. The course focuses on the development of a thesis paper, whichincludes an incremental re-writing process.",BrownCourses
120,AFRI 1150. Afro-Caribbean Philosophy.,"An introduction to the field of Afro-Caribbean philosophy. The first halffocuses on the history of the field, identifying its African background andsurveying some of its major schools, such as the Afro-Christians, thepoeticists, the historicists, and existentialists. The second half consists of amore intensive comparative focus on the ontologies and epistemologies oftwo of these schools.",BrownCourses
121,AFRI 1210. Afro-Brazilians and the Brazilian Polity.,"Explores the history and present-day conditions of Afro-Brazilians,looking specifically at the uses of Africana in contemporary Brazil, politicaland cultural movements among Afro-Brazilians, domestic politics andits external dimensions, and Brazilian race relations within a globalcomparative framework. Texts from a variety of disciplines. A readingknowledge of Portuguese is not required but students so advantagedshould inform the instructor.",BrownCourses
122,"AFRI 1360. Africana Studies: Knowledge, Texts and Methodology.","This course will explore the issues of Africana Studies as a discipline byengaging in a series of critical readings of the central texts, which laid theprotocols of the discipline. The course will also raise issues of knowledgeproduction and methodologies. This course is a senior capstone seminar.Open to all senior Africana Studies concentrators; others by instructorpermission only. Enrollment limited to 25.",BrownCourses
123,AFRI 1920. Health Inequality in Historical Perspective.,"Seminar takes a historical perspective to explore causes of healthinequality in the US. Draws on studies from the 19th century-present.Examines socio–political and economic context of health/disease, focusingon how race, class, and gender shape the experience of health, diseasecausality, and public health responses. Includes health consequences ofimmigration, incarceration, race-based medicine, the Chicago heatwave,and Katrina. Enrollment restricted to 20, second and third-year students.",BrownCourses
124,"AFRI 1930. Race, Difference and Biomedical Research: HistoricalConsiderations.","This advanced seminar places the current debate over race, health, andgenetics in historical context. An overarching goal is to understand howthe social world informs the scientific questions we ask, design of researchstudies, and interpretation of findings. How have the theories and practicesof biomedical science and technology produced knowledge of “race”and racial difference historically? How does race relate to gender andclass? What are the implications of this debate for understanding healthinequality? Previous coursework in Africana Studies preferred. Enrollmentlimited to 20; instructor permission.",BrownCourses
125,AFRI 1970. Independent Reading and Research.,Section numbers vary by instructor. Please check Banner for the correctsection number and CRN to use when registering for this course.,BrownCourses
