,School,CourseID,Descriptions
18,WilliamJewellSUPERTRIMMED,"CTI 215 Trust, Betrayal and Forgiveness 	(4 cr. hrs.)","The course will inquire into the nature and value of trust, betrayal and forgiveness or, more generally, in the field of personal relationships, relation, perturbation and reconciliation. It will approach these topics through philosophical analysis and literary methods. Students will read and develop philosophical analyses of the key concepts and write scenarios (biographical, autobiographical, historical and/or imaginative) that implicate the three main themes. The scenarios will be critiqued for their adequacy in light of the demands of philosophical coherence, and the philosophical analyses will be critiqued in light of their capacity to deal with the nuances of the scenarios. This approach will be extended through reading and analyzing selected works of literature. Students will also consider the nature of relations of the methods, philosophical and literary, that are used for understanding and appreciating human relations. (Interdisciplinary humanities course)"
19,WilliamJewellSUPERTRIMMED,CTI 216 Wagner: Lord of the Ring	(4 cr. hrs.),"The development of modern mass media and the synthesis of art and entertainment both have their genesis in Richard Wagner’s operas, especially in his epic “Der Ring des Nibelungen.” This course will explore the context and content of the 15-hour cycle, Wagner’s influence on 20th century art, politics, and the complexity of multi-media expression in cultural formation. The ways in which his thematic materials are made manifest in cinema will also be investigated. Particular attention will be given to answering the questions: Why (and how) do artistic expressions cause controversy? How does art contribute to cultural formation and ideology? When does art become entertainment and entertainment become art? (Interdisciplinary humanities course)"
20,WilliamJewellSUPERTRIMMED,CTI 217 The Digital Community	(4 cr. hrs.),"Combining classic and contemporary critical theory with cultural analysis, this course examines the way new means of communication and virtual representation remap (if not reconstruct) reality and the way these re-mappings affect our identities, frames of thinking, values, relations, labor and material conditions of life–our community and the way we understand its boundaries. (Interdisciplinary humanities course) "
21,WilliamJewellSUPERTRIMMED,CTI 219 Intercultural Communication	(4 cr. hrs.) ,"A course designed to introduce students to such concepts as cultural differences, cultural belief systems, culture shock and acculturation, language of culture and multicultural nonverbal messages. (Interdisciplinary humanities course)"
22,WilliamJewellSUPERTRIMMED,CTI 220 Literary Topics 	(4 cr. hrs.),"A study in comparative themes and topics found in significant literary works from more than one literary or cultural tradition. Examples include revenge literature, sexuality in literature, literature in religion, literary utopias and dystopias. The focus of any particular semester’s course will be indicated in the class schedule. (Interdisciplinary humanities course)"
23,WilliamJewellSUPERTRIMMED,CTI 226 Religion and Meaning	 (4 cr. hrs.),"This class will explore how religion, particularly the religion of the biblical tradition, serves to guide people in the creation of meaning for understanding both the world they live in and its ethical structures. Using biblical texts and secondary readings from the discipline of sociology, students will explore specifically the secularizing effects of modernization on religion and ways that various religious traditions have responded to the problem of secularism. (Interdisciplinary humanities/religion course)"
24,WilliamJewellSUPERTRIMMED,CTI 229 Christianity and Tyranny 	(4 cr. hrs.),"Using the disciplines of literature and theology, this course addresses the question of how one can live under a repressive regime. Through close reading, class discussion and the presentation of a position paper, students will apply biblical principles to the ethical dilemmas raised by this question of responding to tyranny. (Interdisciplinary humanities/religion course)"
25,WilliamJewellSUPERTRIMMED,"CTI 232 Relationships: Psychological, Religious and Societal Perspectives 	(4 cr. hrs.)","This course will examine the diverse ways in which human beings form, maintain and dissolve relationships with each other and with the divine. Students will demonstrate their engagement with class discussions, readings and lectures through weekly in-class writing exercises and application exercises (such as debates or simulations). (Interdisciplinary humanities/religion course)"
26,WilliamJewellSUPERTRIMMED,"CTI 233 Songs, Symbols and 
Services of Christian Worship 	(4 cr. hrs.)","An historical survey of Christian hymnody, liturgies and other worship practices, including devotional texts, musical styles, symbols and building design, from their Jewish antecedents to the present day. Students engage with the material through course readings, textual analysis and singing of hymn texts, worship service design, participation in worship services representing a variety of denominations, reflection papers, presentations and class discussions. Assignments require limited travel to off-campus sites for weekend worship services. "
27,WilliamJewellSUPERTRIMMED,"CTI 236 Magic, Science and Religion 	(4 cr. hrs.)","This course studies the distinctions that emerge between magic, science and religion when seeking to understand whether and how a civilization’s reasons for confidence in science differ from those that support its belief in religion. The course will be structured around the categories, often applied to religion, of mystery, salvation, causation and theodicy as they apply to all three topics (magic, science and religion). (Interdisciplinary humanities/religion course)"
28,WilliamJewellSUPERTRIMMED,CTI 238 Religion in the Modern Age 	(4 cr. hrs.),"This course studies significant shapers of modern religious studies, and students explore how human communities create and maintain worlds of meaning in response to experiences of the sacred. The ongoing significance of religion in the American, including African-American, context is given focused attention. Generally offered every semester. (Interdisciplinary humanities/religion course)"
29,WilliamJewellSUPERTRIMMED,"CTI 239 Judaism, Christianity and Islam 	(4 cr. hrs.)","The course offers a comparative overview of Judaism, Christianity and Islam in their comparative histories, varying theological and ethical centers and scriptures. While the course examines all three religions from a single disciplinary perspective (i.e. religious studies), the comparative method invites questions that may only be appreciated by imposing methods and assumptions from other disciplinary (i.e., non-religious studies) perspectives. (Interdisciplinary humanities/religion course)"
30,WilliamJewellSUPERTRIMMED,CTI 240 Reading the Bible: Then and Now	 (4 cr. hrs.),"This course explores the reading of the Bible in the context of the history of Christianity. After surveying various ways of reading the Bible throughout Christian history, special attention is given to modern and post-modern modes of biblical interpretation. Students will learn how such contemporary modes of reading take place in conversation with other academic disciplines: cultural anthropology, narrative criticism and reader response criticism. (Interdisciplinary humanities/religion course)"
31,WilliamJewellSUPERTRIMMED,CTI 244 The Epics of Heaven and Hell 	(4 cr. hrs.),A study of two significant works of world literature: The Divine Comedy and Paradise Lost. Students will appreciate two examples of the heroic epic and understand how each author reads and reinterprets earlier epic literature and the Christian tradition. They will explore the two cultural worlds represented by the poems (high middle ages and early modern) and reflect on how the works provide two different readings of the Christian theological tradition and the Bible (Thomist Roman Catholic and Protestant). (Interdisciplinary humanities/religion course) 
32,WilliamJewellSUPERTRIMMED,CTI 245 Evil and Suffering in,"Religious and Literary Traditions	(4 cr. hrs.)This course considers how the distinct issues of evil and suffering have been addressed by thinkers who represent significant religious (Christian and Jewish) theological perspectives: From classical theism, to modern philosophical theism, to modern and contemporary theologies of liberation and compassion. Throughout the course, in order to provide a richer, more grounded context for reflecting on evil and suffering, theological and literary texts will be considered. The course ends with a particular literary account of suffering that calls into question various theological responses, in order to stretch the questions of the course even further: What does religion genuinely have to offer us when we are faced with evil and suffering? (Interdisciplinary humanities/religion course)"
33,WilliamJewellSUPERTRIMMED,"CTI 246 God, Nature and Science 	(4 cr. hrs.)","Students will learn essential features of the neo-Darwinian theory of evolution, as well as religious, primarily Christian, arguments both challenging and affirming the theory. Evolution grounds human existence interdependently with nature, not over and above nature, a status that religion can either endorse or challenge. The course explores biblical responses to the issue of human ecological responsibility, including the study of both “green-friendly” and “not-so-green-friendly” texts. "
34,WilliamJewellSUPERTRIMMED,CTI 251 The Science of Forensics 	(4 cr. hrs.),"This course is focused on the application of scientific techniques to the collection and analysis of evidence used for investigating criminal cases. In the context of investigating criminal cases students will gain an understanding of scientific methodology, analytical thought and techniques used in the analysis of hair and fiber evidence, drugs and toxic substances, arson and explosion, firearms and tools and biological specimens. The legal and ethical issues surrounding scientific integrity in the collection, handling and analysis of evidence will also be explored. CTI 251 will meet a teaching certification requirement for a physical laboratory science. (Interdisciplinary science course) This course includes an integrated laboratory/experiential learning component."
35,WilliamJewellSUPERTRIMMED,CTI 253 Energy and Society	(4 cr. hrs.),"A science course approaching the topic of energy from the discipline of physics but involving, at the application level, the larger considerations of individual and societal responsibility, which transcend the paradigms and boundaries of conventional physics courses. CTI 253 will meet a teaching certification requirement for a physical laboratory science. (Interdisciplinary science course) This course includes an integrated laboratory/experiential learning component."
36,WilliamJewellSUPERTRIMMED,CTI 255 Sports Science:,"Physics Applications and Ethical Issues	(4 cr. hrs.)This course investigates various sports-related activities in terms of the physical principles that govern them and analyzes athletic performance from the viewpoint of a physical scientist. In addition, the role that technology plays in the improvement of athletic performance is addressed along with ethical questions related to how athletes attempt to enhance athletic performance. CTI 255 will meet a teaching certification requirement for a physical laboratory science. (Interdisciplinary science course) This course includes an integrated laboratory/experiential learning component."
37,WilliamJewellSUPERTRIMMED,CTI 256 The Science of Sight and Sound 	(4 cr. hrs.),"The nature of sound and light is addressed in the context of our auditory and visual senses. Physics of sound, anatomy and physiology of the ear and the pathway to the cerebral cortex, and the psychology of perception are drawn upon to understand the functioning of musical instruments as well as our perception of music. The richness of color sensation in nature and art is addressed by similarly drawing on the physics of light, as well as the anatomy, physiology and psychology of vision. Technological approaches to correcting ocular and auditory defects are addressed as well as means of enhancing or extending the senses of sight and hearing. CTI 256 will meet a teaching certification requirement for a physical laboratory science. (Interdisciplinary science course) This course includes an integrated laboratory/experiential learning component."
38,WilliamJewellSUPERTRIMMED,CTI 257 Emerging and Re-emerging Infectious ,"Diseases: Local and Global Issues 	(4 cr. hrs.)Infectious diseases are undergoing a global resurgence due to factors such as human population demographics and behavior, antibiotic resistance, environmental degradation, political and economic decisions and public health policies. Diseases such as tuberculosis, malaria, measles and polio continue to be of global concern, while other diseases such as Ebola, “Mad Cow” disease and Hantavirus pulmonary syndrome make their appearance. CTI 257 will meet a teaching certification requirement for a biological laboratory science. (Interdisciplinary science course) This course includes an integrated laboratory/ experiential learning component."
39,WilliamJewellSUPERTRIMMED,CTI 258 Astronomy and Cosmology: ,Observations and Theories of the Universe	(4 cr. hrs.)An interdisciplinary examination of how our conception of the universe has evolved from that of selected early societies to the modern worldview based on observations and the theories that explain them. CTI 258 will meet a teaching certification requirement for a physical laboratory science. (Interdisciplinary science course) This course includes an integrated laboratory/experiential learning component.
40,WilliamJewellSUPERTRIMMED,CTI 259 The Ecology of Food 	(4 cr. hrs.),"The Ecology of Food is an exploration of food from the following perspectives: the importance of food (requirements for human health, supply and demand) the distribution of starvation and abundance, the ecological and economic reasons for this distribution, the amount and sources of energy involved in food production, the role of food production in sustainability issues (water, energy and soil/nutrient supply), the economics of food and food production, various forms of agriculture used to produce food, and, finally, food security in a global marketplace in an age of terrorism. CTI 259 will meet a teaching certification requirement for a biological laboratory science. (Interdisciplinary science course) This course includes an integrated laboratory/experiential learning component."
41,WilliamJewellSUPERTRIMMED,"CTI 260 Sustainability and the 
World’s Resources	(4 cr. hrs.)","This course is an exploration into the scientific and public policy issues surrounding the effects of global development on the world’s natural resources. Resources to be investigated include the air we breathe, sources of energy, the world’s water supply and the extraction of virgin materials such as metal ores. The recycling of metals, plastics and other materials will also be considered. Relevant scientific concepts will be explored, as well as available sustainable practices for utilization of these natural resources. CTI 260 will meet a teaching certification requirement for a physical laboratory science. (Interdisciplinary science course) This course includes an integrated laboratory/experiential learning component."
42,WilliamJewellSUPERTRIMMED,CTI 261 Ethnobotany	(4 cr. hrs.),"Ethnobotany is the study of the interactions between humans and plants, focusing on how plants are used every day by humans for food, medicine, recreation, housing, clothing, etc. This class explores the cultural, religious and historical importance of plants to humans as well as focusing on the study of plant biology. The course will interweave exploration of plant biology with the understanding of how plants are used by humans and have, in turn, impacted human history and culture. CTI 261 will meet a teaching certification requirement for a biological laboratory science. (Interdisciplinary science course.) This course includes an integrated laboratory/experiential learning component."
43,WilliamJewellSUPERTRIMMED,CTI 262 Astrobiology	(4 cr. hrs.),"Astrobiology is the study of the origin, evolution and distribution of life in the universe. It uses interdisciplinary science at the intersection of biology, geology and astronomy to discover where and under what conditions life arises and exists in the universe. This course examines the origin and evolution of life on Earth, what conditions are necessary for a habitable planet, which planets and moons in our solar system could harbor life, and the search for habitable extra-solar planets. CTI 262 will meet a teaching certification requirement for a physical laboratory science. (Interdisciplinary science course.) This course includes an integrated laboratory/experiential learning component.Power and Justice in Society: Interdisciplinary Courses in the Social Sciences"
44,WilliamJewellSUPERTRIMMED,CTI 275 Communities and Social Problems 	(4 cr. hrs.),"This course focuses on various expressions of inequality from sociological, economic, historical and psychological perspectives. Students will present oral and written reports of analyses of various social problems. There is a Service-Learning component in this course. (Interdisciplinary social science course)"
45,WilliamJewellSUPERTRIMMED,CTI 277 Deviance and Discipline: Crime ,"and Punishment in Historical Perspective	 (4 cr. hrs.)This course asks students to study and apply the content and methods of history, sociology, literature and art history to the topic of criminal justice in eighteenth and nineteenth century England. Through their reading and written assignments students will grapple with a variety of materials, including statistical studies of crime, social theories of deviance, literature such as the play The Beggar’s Opera and the fiction of Charles Dickens, and the paintings of William Hogarth. (Interdisciplinary social science course)"
46,WilliamJewellSUPERTRIMMED,CTI 280 The Second World War	(4 cr. hrs.),"The course examines the military, political and social history of World War II, as well as the conflict’s origins and the causes of Allied victory. Students will consider ethical questions such as those related to the rise of fascist dictatorships in Germany and Japan; targeting civilian populations during a “total war”; the Holocaust; Japanese war-crimes in Asia; Japanese internment in the United States; racism in the Pacific War; the fire-bombing of German and Japanese cities and the use of atomic bombs; and the Nuremberg trials. (Interdisciplinary social science course)"
47,WilliamJewellSUPERTRIMMED,"CTI 281 Medicine, Money and Morals	 (4 cr. hrs.)","This course explores issues in the area of biomedical ethics. The interdisciplinary origin of biomedical ethics facilitates investigation into the societal impact of medicine, morality and economics. Students explore competing power structures within the healthcare industry from both an historical and contemporary perspective. Students analyze justice within existing and ideal healthcare structures with particular attention to justice for the vulnerable. (Interdisciplinary social science course)"
48,WilliamJewellSUPERTRIMMED,CTI 284 School and Society,"in the United States	(4 cr. hrs.)This course examines the development of American schooling within the context of social history. The course focuses on four themes: the differing (often conflicting) concepts about schooling held by leading educational thinkers, the public and public policy makers; the changing relationships among schools and other education entities such as church and family; the societal and policy issues that have shaped the American educational system; and public schooling as a promised or real agent of social change. Students in this course are expected to analyze these forces from all perspectives and to critically discern how and why the current school system evolved. Students will also be expected to identify the origins of current educational issues, be able to analyze and critically discuss those issues and formulate a personal position and/or plan of action based on that understanding. Specific lenses for analysis will include race, class, ethnicity, gender, religion and the intersection of these factors in the construction of power and justice in/through schooling in the United States. (Interdisciplinary social science course)"
49,WilliamJewellSUPERTRIMMED,CTI 285 Comparative Revolutions 	(4 cr. hrs.),"We often label significant moments of change ‘revolutions.’ Such moments in time often reveal the significant differences between competing ideas and the reality of power and justice. This course will guide students through a comparative study of at least two revolutions, for example the French Revolution of 1789, the Russian Revolution of 1917, the Scientific Revolution of the 17th century, the American Revolution, the Industrial Revolution of the 18th century, etc. Some of the key questions involved in this course will include: How do we define revolution? What causes them? What influences their outcomes? Are revolutions primarily political events or must they also involve social and/or economic change? Who participates in revolution and why? Are some revolutions failures and others successful? "
50,WilliamJewellSUPERTRIMMED,"CTI 286 Gender, Power and Justice 	(4 cr. hrs.)","Gender, like race and class, is one of the fundamental categories that have affected, if not determined, one’s experience of power and justice. This course looks in particular at the experiences of women and men from the 18th century to the present. It examines both the theory and reality of women’s roles in the family, the work place and the state and how those have changed over time. (Interdisciplinary social science course)"
51,WilliamJewellSUPERTRIMMED,CTI 287 Slavery and Abolition,"in the Modern World	(4 cr. hrs.)This course examines present-day slavery and human trafficking—and antislavery campaigns seeking to end them—in historical perspective. After a brief introduction to slavery in the ancient and medieval eras, the first section of the course surveys the rise and fall of slavery in the Atlantic world from the 16th century to the 19th. The second section adopts a more global focus and concentrates on the late 20th century and early 21st century, exploring why forced labor and human trafficking continue to thrive and what steps are being taken to reverse that trend. Students will draw on disciplines including history, economics, political science, literature and law. Close attention will be paid to how inequalities of power in the global economy have fueled the expansion of slavery and how globalization and technology have provided tools for anti-slavery activists to combat slavery and seek justice for its victims. (Interdisciplinary social science course)"
52,WilliamJewellSUPERTRIMMED,"CTI 288 Philosophy of Power, Sex and Gender	(4 cr. hrs.)","This course is an introduction to contemporary feminist theory, taught in a seminar format. We will consider the philosophical implications of claims made in other fields, including anthropology, political science, sociology, psychology and biology. Questions we will consider include: What is the relationship between sex and gender? How has the discipline of philosophy generally understood women, and presupposed a particular attitude toward gender? What are liberal feminism, radical feminism, Marxist feminism, multicultural feminism, post-modern feminism and how do they differ from one another? What are some important arguments made by feminist ethicists and feminist epistemologists? How are contemporary feminist philosophers contributing to the debate on micro-inequities and implicit bias? Students will gain familiarity with current feminist philosophical scholarship while developing their own scholarly abilities and skills of critical analysis. (Interdisciplinary social science course)"
53,WilliamJewellSUPERTRIMMED,CTI 289 Today’s American Political Debate	(4 cr. hrs.),"This course examines major current controversies in the national political conversation of the United States. It focuses on questions of economic policy as well as controversies over social questions. Readings reflect a diversity of political perspectives. Attention will also focus on how specific political debates are shaped by the contending world views of the participants. Among the matters covered are economic and social stratification and inequality, the condition of social capital, and the dividing line between public and private. (Interdisciplinary social science course)"
54,WilliamJewellSUPERTRIMMED,CTI 401 Birth by Any Means? 	(4 cr. hrs.),"In the United States today, Assisted Reproductive Technology (ART) is a virtually unregulated field of medical practice. In this capstone course, students will consider competing ethical frameworks on the technological creation of life. Students will also develop careful proposals on whether and how to regulate ART in a variety of settings, from the law and public funding to counseling briefs for hospitals."
55,WilliamJewellSUPERTRIMMED,CTI 402 Capitalism and Democracy: ,"What is a Good Society? 	(4 cr. hrs.)This course examines the challenges, the dilemmas and the fundamental issues at stake in creating democratic political systems with market economies. It also explores the stresses placed by globalization on developed capitalist democracies today."
56,WilliamJewellSUPERTRIMMED,"CTI 403 Plague, Piety and Public Policy 	(4 cr. hrs.)","This course will examine social and ethical responses to pandemic diseases, specifically the bubonic plague of the 14th century and AIDS. After exploring biological, ethical and social aspects of plague, students will offer recommendations and debate the appropriate policy response to AIDS. "
57,WilliamJewellSUPERTRIMMED,CTI 404 State and Society 	(4 cr. hrs.),"This course will focus on current debates over the proper scope of the public sector in American life. Students will examine contending perspectives on where and how to draw the line between the public and the private. The contending perspectives might include libertarianism and social justice liberalism, as well as Roman Catholic and Calvinist views of “natural law.” Students will then consider two current public questions: the regulation of tobacco and school vouchers."
58,WilliamJewellSUPERTRIMMED,CTI 405 Endangerment:,"Species, Languages and Cultures	 (4 cr. hrs.)This course will explore biological and ethnolinguistic diversity and endangerment. It will explore the following questions: What are the mechanisms by which species and ethnolinguistic groups have come into being and how can we know this? To what degree are these underlying mechanisms similar or not? What are the causes of biological and ethnolinguistic endangerment and are they similar or not? What are the ethical foundations for conservation of both species and ethnolinguistic groups? What should our responses to biological and ethnolinguistic endangerment be given the answers to the above questions? The class will explore these questions through the primary literature and independent research on the relationship between biological and ethnolinguistic diversity."
59,WilliamJewellSUPERTRIMMED,CTI 406 Death by Any Means? 	(4 cr. hrs.),"This course will examine the current debate surrounding capital punishment. Students in this course will examine arguments in favor of and against the death penalty in the United States, and will also investigate the differing religious opinions, both Christian and non-Christian, that exist concerning this topic. Finally students will learn about the role that scientific evidence, specifically DNA testing, plays in this debate, and will also learn about the social justice issues that are imperative to understanding this topic."
60,WilliamJewellSUPERTRIMMED,CTI 407 The Economics of Well-Being	(4 cr. hrs.),"This course explores the economic, philosophical and religious implications of “wellbeing” by analyzing Mark Anielski’s five categories of capital (human capital, social capital, natural capital, built capital and financial capital) from his book, The Economics of Happiness, as they relate to both local (Liberty, Missouri and Kansas City, Missouri) and global applications (Bhutan’s “Gross National Happiness”)."
61,WilliamJewellSUPERTRIMMED,CTI 408 Health Care at Any Cost? 	(4 cr. hrs.),"As health care costs stretch our national resources, we are faced with choices about personal and societal health. In this course, students will explore the current U.S. healthcare system and how health values are shaped by and shape consumerism. We examine justice in healthcare and how current trends will impact future healthcare delivery. Students will critically appraise selected issues relating to healthcare and use a research process for analyzing cost in managed health care situations."
62,WilliamJewellSUPERTRIMMED,CTI 409 Immigration: E Pluribus Unum? 	(4 cr. hrs.),"This course will examine the issue of U.S. national identity as found in our conceptions of citizenship and national boundaries. We will raise these questions: What does it mean to be an American? What should it take to enter the United States legally? What does it mean to acquire United States citizenship? The goal of this examination will be to understand how various conceptions of national identity, citizenship and national borders shape the current debates over immigration policy. After exploring the ethical, economic, biological and social issues regarding immigration, students will create an immigration policy. That policy will be assessed as to its internally consistency, fit with the U.S. Constitution, moral soundness and comprehensiveness in defining the bounds of legal immigration as well as consequences of illegal entry."
63,WilliamJewellSUPERTRIMMED,CTI 410 Private Solutions for,"Public Problems: In Billionaires We Trust 	(4 cr. hrs.)Increasingly, high profile individuals and corporations are using their dollars and influence to try to solve social problems. In doing so, they are effectively creating public policy despite their status as private citizens. This course examines the role of private philanthropy in solving public problems. The ethics and values of philanthropy rooted in the evolution of the third sector, primarily in the United States, will be analyzed. Attention will be given to legal and philosophical issues associated with philanthropic endeavors, including the social responsibility of the corporation, looking at how profit motive interacts with social causes. We will discuss models of philanthropic and charitable organizations, their operational practices and issues arising from their existence and activities. In order to frame our discussion on philanthropy, each semester a major global issue currently being impacted by private philanthropy will be addressed, such as climate change or the global AIDS epidemic."
64,WilliamJewellSUPERTRIMMED,CTI 411 Well-being by Design? 	(4 cr. hrs.) ,"This course will explore what structural attributes are needed to make a community strong and sustainable. We will survey some influential social justice philosophies while asking if it is possible to plan for the equitable, sustainable well-being of the members of an urban community. How can these philosophies be practically applied in actual communities in a way that protects individual happiness, community values and environmental capital? We will examine real-world proposals for community planning that attempt to answer questions such as: How are the values of that community translated into a healthy development plan for that community? What factors must be considered in designing the infrastructure that underlies healthy neighborhoods and communities within the urban context? "
