SECTION, TITLE, DESCRIPTION
COMM 365, Corporate Advocacy and Activist Communication 3 Cr.,  This course examines rhetorical and ethical implications of corporate image and issue management campaigns including their influence on culture and governance. This course addresses both adversarial and collaborative approaches with activist groups non-governmental organizations (NGOs) and other stakeholders. 
COMM 373,/603 Legal Environment of Digital Media 3 Cr.,  This course explores the legal decisions and government regulations which form the legal environment of digital media and communication. Topics include rights and restriction on the distribution of electronic media content rights to privacy copyright and trademark law content licensing and legal issues affecting designers and hosts of online digital media. Emerging topics in digital media creation and distribution also are discussed. 
COMM 386, Internship 1-3 Cr.,  This course includes supervised work experience with an organization related to the student's field of study in communication. Students reflect on their experiences in an online collaborative environment and make a final oral presentation about the internship. Students must complete a minimum of 45 hours of work per credit hour.  Open to declared departmental majors or minors only. Students must adhere to internship requirements described on the department’s web site. S/U grade only. 
COMM 472, Screenwriting 3 Cr.,  This course explores the relationship between the written script and the finished movie through creative work and critical analysis. With particular emphasis on creating entertainment for an audience students concentrate on building fictional narratives through plot and character development.  
COMM 499, Capstone Senior Project 3 Cr.,  This course provides a collaborative team-based communication project that integrates communication and digital media expertise. It will incorporate theory and original research from the proposal stage through its execution and evaluation.  Computing and Information Sciences 106 Cooperative Education Credit in Computer Science may be obtained for cooperative education experiences relating to Computer Science. Students must prepare a brief proposal describing the intended experience and secure a Computer Science advisor who will decide whether the work merits Computer Science credit. For each term of Computer Science related work students may receive 2 credits for a summer experience or 3 credits for a full-time semester experience. No more than 3 credits may be counted toward the minimum major requirements or the Computer Science minor. (An exception may be made in the case of the Bachelor of Science degree where up to 4 credits in Cooperative Education may be counted toward the 36-hour single major.) If these credits are used to fulfill minimum credit hour requirements for a major or minor at least two Computer Science experiences are required at least one of which must be a full-time semester experience. In addition to meeting the College of Arts and Sciences 2.500 cumulative grade point average requirement students must present a 2.500 grade point average for all required Computer Science courses in the major taken prior to participation in the Cooperative Education program. For further information refer to Cooperative Education College of Arts and Sciences page 64. Computer Science Courses 
CS 115, Computers and Computation 3 Cr.,  A general survey of central topics in computer science with emphasis on the scientific aspects of computation and demonstration of how computing relates to other disciplines. Topics include algorithms and their analysis human-machine interfaces artificial intelligence software engineering modeling of data and serial and parallel computation. Students will perform computational experiments in a laboratory environment. May be used to fulfill the Quantitative Analysis component of the General Education Requirements.  
CS 156, Fundamentals of Programming 2+2 3 Cr.,  A study of fundamental programming constructs algorithms data structures and object orientation. An emphasis is placed on programming strategies and the application of computer algorithms to solve problems in engineering and mathematics. This course is currently listed only for the purposes of transfer credit equivalence. Students cannot receive credit for more than one of 
CS 157, Algorithms and Programming 2+3 3 Cr.,  A first course in problem solving through algorithm development and analysis with an introduction to software design. Students design algorithms for the solution of elementary problems and writes documents and debugs programs for the implementation of those algorithms. Students cannot receive credit for more than one of 
CS 240, Assembly Language Programming 2+2 2 Cr.,  Fundamentals of the structure of digital computers and an introduction to assembly language programming. Topics include machine instructions data representation addressing techniques and program segmentation and linkage.   Computing and Information Sciences 107 
CYB 530,  Operating Systems 3+1 2 Cr.,  An introduction to the concepts of modern operating systems. Topics include processes scheduling synchronization virtual memory file systems shells and security. Lab topics include common operating system utilities and commands as well as programming to use OS facilities. Pre/corequisite: 
CS 335,/535 Networks 3+1 2 Cr.,  An introduction to the concepts of computer networks with an emphasis on Internet Protocol. Topics include the OSI layered model network and transport layer protocols design goals and security. Lab topics include common network information and configuration utilities as well as programming to use network facilities.  
CS 345,/545 Artificial Intelligence 3+1 2 Cr.,  An introduction to the goals concepts and algorithms of artificial intelligence including both modern techniques and techniques of historical interest. Topics include symbolic and numerical representations as well as the algorithms for machine reasoning and machine learning. Lab topics include use and implementation of these techniques.  
